,Date,Open,High,Low,Close,Volume
4187,2025-10-24,7.3,8.5,7.3,8.5,6500
4186,2025-10-17,9.5,9.5,8.5,8.5,3100
4185,2025-09-26,9.5,10.2,9.1,10.2,14500
4184,2025-09-19,9.0,10.2,9.0,10.2,3700
4183,2025-09-12,9.9,10.5,9.9,10.5,25600
4182,2025-09-05,10.5,10.7,9.0,10.5,51900
4181,2025-08-29,10.5,11.5,9.2,10.8,20200
4180,2025-08-22,10.0,10.1,9.0,10.0,8700
4179,2025-08-15,10.5,10.5,9.5,10.3,8500
4178,2025-08-08,11.0,11.0,10.0,10.3,73900
4177,2025-08-01,10.5,10.5,9.0,9.0,6100
4176,2025-07-25,9.7,9.7,9.6,9.6,8600
4175,2025-07-18,7.5,8.6,7.5,8.6,8700
4174,2025-07-11,8.0,8.0,6.6,7.3,17700
4173,2025-07-04,7.5,7.5,6.2,6.3,13600
4172,2025-06-27,5.5,7.1,5.5,5.9,5400
4171,2025-06-20,7.5,7.5,6.0,6.2,2900
4170,2025-06-13,6.6,6.6,6.6,6.6,5100
4169,2025-06-06,5.8,6.6,5.7,5.7,17700
4168,2025-05-30,5.8,5.8,5.8,5.8,54800
4167,2025-05-23,6.8,6.8,6.8,6.8,14300
4166,2025-05-16,6.8,8.0,6.8,8.0,2200
4165,2025-05-09,8.0,8.0,8.0,8.0,100
4164,2025-04-25,7.6,7.6,6.3,6.3,1000
4163,2025-04-18,6.5,7.7,6.5,7.7,1100
4162,2025-04-11,6.8,6.8,6.5,6.5,4400
4161,2025-04-04,6.4,7.2,6.4,7.2,125300
4160,2025-03-28,6.2,7.2,6.2,7.2,42700
4159,2025-03-21,6.3,6.3,6.3,6.3,2500
4158,2025-03-14,6.4,6.4,5.3,5.3,4400
4157,2025-03-07,5.7,5.7,5.5,5.7,105800
4156,2025-02-28,5.0,5.3,4.3,4.3,7200
4155,2025-02-21,4.9,5.2,4.9,5.2,614300
4154,2025-02-07,5.1,5.5,5.1,5.5,200
4153,2025-01-24,6.0,6.0,6.0,6.0,100
4152,2025-01-17,5.6,5.6,5.0,5.0,3300
4151,2025-01-10,5.0,5.0,5.0,5.0,300
4150,2025-01-03,5.7,5.7,4.9,4.9,600
4149,2024-12-20,5.7,5.7,5.7,5.7,100
4148,2024-12-06,5.0,5.0,5.0,5.0,100
4147,2024-11-22,4.4,4.4,4.4,4.4,600
4146,2024-11-15,3.9,3.9,3.9,3.9,500
4145,2024-11-01,3.4,3.4,3.4,3.4,100
4144,2024-10-25,4.0,4.0,4.0,4.0,200
4143,2024-09-20,4.4,4.4,3.5,3.9,1200
4142,2024-09-13,3.9,3.9,3.9,3.9,100
4141,2024-08-30,4.5,4.5,4.5,4.5,100
4140,2024-08-16,5.0,5.0,4.4,4.5,1200
4139,2024-08-09,4.4,4.4,4.4,4.4,300
4138,2024-08-02,5.0,5.0,5.0,5.0,100
4137,2024-07-25,4.8,4.8,4.8,4.8,0
4136,2024-07-24,4.8,4.8,4.8,4.8,0
4135,2024-07-23,4.8,4.8,4.8,4.8,0
4134,2024-07-22,4.8,4.8,4.8,4.8,0
4133,2024-07-19,4.8,4.8,4.8,4.8,0
4132,2024-07-18,4.8,4.8,4.8,4.8,0
4131,2024-07-17,4.8,4.8,4.8,4.8,0
4130,2024-07-16,4.8,4.8,4.8,4.8,0
4129,2024-07-15,4.8,4.8,4.8,4.8,0
4128,2024-07-12,5.0,5.0,4.1,4.1,400
4127,2024-07-11,4.8,4.8,4.8,4.8,0
4126,2024-07-10,4.8,4.8,4.8,4.8,0
4125,2024-07-09,4.8,4.8,4.8,4.8,0
4124,2024-07-08,4.8,4.8,4.8,4.8,0
4123,2024-07-05,4.6,5.4,4.6,5.0,1700
4122,2024-07-04,5.4,5.4,5.4,5.4,0
4121,2024-07-03,5.4,5.4,5.4,5.4,0
4120,2024-07-02,5.4,5.4,5.4,5.4,0
4119,2024-07-01,5.4,5.4,5.4,5.4,0
4118,2024-06-28,5.8,5.8,5.2,5.2,2600
4117,2024-06-27,6.1,6.1,6.1,6.1,0
4116,2024-06-26,6.1,6.1,6.1,6.1,0
4115,2024-06-25,6.1,6.1,6.1,6.1,0
4114,2024-06-24,6.1,6.1,6.1,6.1,0
4113,2024-06-21,6.1,6.2,6.1,6.1,1400
4112,2024-06-20,6.1,6.1,6.1,6.1,0
4111,2024-06-19,6.1,6.1,6.1,6.1,0
4110,2024-06-18,6.1,6.1,6.1,6.1,0
4109,2024-06-17,6.1,6.1,6.1,6.1,0
4108,2024-06-14,5.5,6.3,5.5,6.3,11100
4107,2024-06-13,5.5,5.5,5.5,5.5,0
4106,2024-06-12,5.5,5.5,5.5,5.5,0
4105,2024-06-11,5.5,5.5,5.5,5.5,0
4104,2024-06-10,5.5,5.5,5.5,5.5,0
4103,2024-06-07,5.5,6.0,5.1,6.0,6400
4102,2024-06-06,6.0,6.0,6.0,6.0,0
4101,2024-06-05,6.0,6.0,6.0,6.0,0
4100,2024-06-04,6.0,6.0,6.0,6.0,0
4099,2024-06-03,6.0,6.0,6.0,6.0,0
4098,2024-05-31,6.0,6.0,6.0,6.0,100
4097,2024-05-30,5.5,5.5,5.5,5.5,0
4096,2024-05-29,5.5,5.5,5.5,5.5,0
4095,2024-05-28,5.5,5.5,5.5,5.5,0
4094,2024-05-27,5.5,5.5,5.5,5.5,0
4093,2024-05-24,5.5,5.5,5.5,5.5,0
4092,2024-05-23,5.5,5.5,5.5,5.5,0
4091,2024-05-22,5.5,5.5,5.5,5.5,0
4090,2024-05-21,5.5,5.5,5.5,5.5,0
4089,2024-05-20,5.5,5.5,5.5,5.5,0
4088,2024-05-17,5.5,5.5,5.5,5.5,100
