,Date,Open,High,Low,Close
224,2025-10-17,5.0,5.0,4.8,5.0
223,2025-10-10,4.7,5.0,4.7,5.0
222,2025-10-03,5.0,5.2,4.7,5.0
221,2025-09-26,5.5,5.7,5.4,5.5
220,2025-09-19,5.7,5.7,5.4,5.6
219,2025-09-12,6.0,6.1,5.6,5.7
218,2025-09-05,6.4,6.4,5.9,6.0
217,2025-08-29,6.1,6.6,6.1,6.4
216,2025-08-22,6.2,6.3,5.9,6.1
215,2025-08-15,6.0,6.5,5.9,6.2
214,2025-08-08,5.5,6.1,5.5,5.9
213,2025-08-01,5.6,5.6,5.2,5.5
212,2025-07-25,5.8,6.0,5.5,5.7
211,2025-07-18,5.7,6.1,5.6,5.6
210,2025-07-11,5.5,5.9,5.2,5.7
209,2025-07-04,5.3,5.4,5.1,5.4
208,2025-06-27,5.4,5.4,5.1,5.1
207,2025-06-20,5.0,5.5,5.0,5.3
206,2025-06-13,4.9,5.1,4.6,4.9
205,2025-06-06,4.2,4.9,4.1,4.9
204,2025-05-30,4.4,4.5,4.1,4.5
203,2025-05-28,4.0,4.7,4.0,4.6
202,2025-05-27,4.9,4.9,4.4,4.5
201,2025-05-26,5.5,5.6,4.8,4.9
200,2025-05-23,5.2,5.7,5.0,5.5
199,2025-05-22,4.6,5.2,4.5,5.2
198,2025-05-21,5.0,5.0,4.5,4.7
197,2025-05-20,5.0,5.3,4.6,4.9
196,2025-05-19,5.5,5.5,5.1,5.2
195,2025-05-16,5.5,5.9,5.1,5.4
194,2025-05-15,5.2,5.5,4.9,5.5
193,2025-05-14,4.3,4.9,4.3,4.9
192,2025-05-13,4.1,4.5,4.1,4.4
191,2025-05-12,4.0,4.1,3.9,4.0
190,2025-05-09,4.0,4.0,3.8,4.0
189,2025-05-08,4.0,4.1,3.7,4.0
188,2025-05-07,3.8,4.1,3.8,4.0
187,2025-05-06,3.5,4.0,3.5,3.8
186,2025-05-05,3.6,3.6,3.5,3.6
185,2025-04-29,3.7,3.7,3.5,3.6
184,2025-04-28,3.6,3.7,3.5,3.7
183,2025-04-25,3.6,3.7,3.5,3.6
182,2025-04-24,3.4,3.7,3.3,3.6
181,2025-04-23,3.2,3.5,3.1,3.5
180,2025-04-22,3.5,3.6,3.0,3.3
179,2025-04-21,3.5,3.6,3.4,3.5
178,2025-04-18,3.5,3.6,3.4,3.5
177,2025-04-17,3.4,3.5,3.4,3.5
176,2025-04-16,3.5,3.6,3.4,3.5
175,2025-04-15,3.6,3.6,3.4,3.5
174,2025-04-14,3.7,3.7,3.5,3.6
173,2025-04-11,3.7,3.8,3.4,3.7
172,2025-04-10,3.5,3.5,3.4,3.5
171,2025-04-09,3.2,3.2,2.9,3.2
170,2025-04-08,3.0,3.6,3.0,3.3
169,2025-04-04,3.5,3.7,3.4,3.6
168,2025-04-03,3.9,3.9,3.5,3.6
167,2025-04-02,4.0,4.1,3.9,4.0
166,2025-04-01,4.0,4.0,3.9,4.0
165,2025-03-31,4.0,4.1,3.9,4.0
164,2025-03-28,4.1,4.1,4.0,4.1
163,2025-03-27,4.1,4.2,4.0,4.1
162,2025-03-26,4.1,4.2,4.0,4.2
161,2025-03-25,4.0,4.2,4.0,4.1
160,2025-03-24,4.1,4.2,4.0,4.1
159,2025-03-21,4.3,4.3,4.0,4.0
158,2025-03-20,4.2,4.3,4.1,4.3
157,2025-03-19,4.3,4.3,4.1,4.3
156,2025-03-18,4.2,4.4,4.1,4.3
155,2025-03-17,4.3,4.4,4.1,4.2
154,2025-03-14,4.3,4.4,4.2,4.3
153,2025-03-13,4.5,4.5,4.3,4.3
152,2025-03-12,4.4,4.6,4.3,4.4
151,2025-03-11,4.1,4.4,4.0,4.4
150,2025-03-10,4.5,4.6,4.1,4.2
149,2025-03-07,4.7,4.8,4.4,4.5
148,2025-03-06,4.5,4.9,4.4,4.7
147,2025-03-05,4.4,4.7,4.3,4.5
146,2025-03-04,4.2,4.6,4.2,4.3
145,2025-03-03,5.4,5.4,4.8,4.8
144,2025-02-28,5.4,5.7,5.4,5.6
143,2025-02-27,5.5,5.6,5.4,5.5
142,2025-02-26,5.8,5.8,5.4,5.5
141,2025-02-25,5.9,6.0,5.7,5.8
140,2025-02-24,6.1,6.2,5.8,6.0
139,2025-02-21,6.2,6.2,6.0,6.1
138,2025-02-20,6.3,6.4,6.0,6.2
137,2025-02-19,6.2,6.3,6.1,6.3
136,2025-02-18,6.2,6.3,6.0,6.2
135,2025-02-17,6.0,6.2,5.8,6.1
134,2025-02-14,6.3,6.3,5.8,6.0
133,2025-02-13,6.5,6.6,6.2,6.3
132,2025-02-12,6.5,6.8,6.4,6.6
131,2025-02-11,6.0,6.5,6.0,6.5
130,2025-02-10,6.5,6.5,6.1,6.3
129,2025-02-07,6.7,6.9,6.4,6.5
128,2025-02-06,6.6,6.8,6.5,6.7
