,Date,Open,High,Low,Close,Volume
3465,2025-10-24,2.6,2.6,2.0,2.5,400
3464,2025-10-17,2.6,2.6,2.2,2.2,1000
3463,2025-10-10,2.3,2.6,2.3,2.3,1400
3462,2025-09-26,3.2,3.2,2.6,2.6,2600
3461,2025-09-19,3.2,3.2,2.7,2.7,400
3460,2025-09-12,2.8,2.8,2.8,2.8,100
3459,2025-09-05,2.9,2.9,2.4,2.4,400
3458,2025-08-29,3.4,3.4,2.6,2.6,500
3457,2025-08-15,3.2,3.2,2.8,2.8,200
3456,2025-08-08,2.7,2.9,2.7,2.9,300
3455,2025-08-01,2.7,2.7,2.6,2.7,2600
3454,2025-07-25,2.5,2.5,2.4,2.4,1300
3453,2025-07-18,2.4,2.7,2.4,2.7,200
3452,2025-07-11,2.3,3.1,2.3,3.1,3800
3451,2025-07-04,2.7,2.7,2.7,2.7,400
3450,2025-06-27,3.1,3.1,3.1,3.1,100
3449,2025-06-20,2.8,2.8,2.8,2.8,100
3448,2025-06-13,2.5,2.5,2.5,2.5,100
3447,2025-06-06,2.0,2.5,2.0,2.5,300
3446,2025-05-30,2.3,2.7,2.3,2.3,900
3445,2025-05-23,2.7,2.7,2.7,2.7,500
3444,2025-05-16,3.1,3.1,3.1,3.1,3500
3443,2025-05-09,3.6,3.6,3.6,3.6,100
3442,2025-04-11,3.2,3.2,3.2,3.2,100
3441,2025-04-04,3.5,3.5,2.8,2.8,2100
3440,2025-03-28,3.3,3.3,2.8,2.8,300
3439,2025-03-21,2.9,2.9,2.9,2.9,100
3438,2025-03-14,3.2,3.2,3.2,3.2,100
3437,2025-03-07,3.1,3.1,3.0,3.0,2200
3436,2025-02-28,2.7,2.7,2.7,2.7,2200
3435,2025-02-21,2.4,2.4,2.4,2.4,100
3434,2025-02-14,2.1,2.1,2.1,2.1,200
3433,2025-02-07,1.9,1.9,1.9,1.9,100
3432,2025-01-24,1.7,1.7,1.7,1.7,100
3431,2025-01-17,1.9,1.9,1.9,1.9,2100
3430,2024-12-06,2.2,2.2,2.2,2.2,300
3429,2024-11-29,2.5,2.5,2.5,2.5,100
3428,2024-11-01,2.2,2.2,2.2,2.2,1900
3427,2024-09-27,2.5,2.5,2.5,2.5,200
3426,2024-09-06,2.4,2.4,2.4,2.4,200
3425,2024-08-30,2.4,2.4,2.4,2.4,300
3424,2024-08-16,2.7,2.7,2.1,2.7,400
3423,2024-08-09,2.4,2.4,2.4,2.4,200
3422,2024-07-26,2.5,2.5,2.4,2.4,200
3421,2024-07-25,2.5,2.5,2.5,2.5,0
3420,2024-07-24,2.5,2.5,2.5,2.5,0
3419,2024-07-23,2.5,2.5,2.5,2.5,0
3418,2024-07-22,2.5,2.5,2.5,2.5,0
3417,2024-07-19,2.8,2.8,2.5,2.5,3700
3416,2024-07-18,2.5,2.5,2.5,2.5,0
3415,2024-07-17,2.5,2.5,2.5,2.5,0
3414,2024-07-16,2.5,2.5,2.5,2.5,0
3413,2024-07-15,2.5,2.5,2.5,2.5,0
3412,2024-07-12,2.7,2.7,2.3,2.5,16900
3411,2024-07-11,2.6,2.6,2.6,2.6,0
3410,2024-07-10,2.6,2.6,2.6,2.6,0
3409,2024-07-09,2.6,2.6,2.6,2.6,0
3408,2024-07-08,2.6,2.6,2.6,2.6,0
3407,2024-07-05,2.9,2.9,2.6,2.6,4900
3406,2024-07-04,2.6,2.6,2.6,2.6,0
3405,2024-07-03,2.6,2.6,2.6,2.6,0
3404,2024-07-02,2.6,2.6,2.6,2.6,0
3403,2024-07-01,2.6,2.6,2.6,2.6,0
3402,2024-06-28,2.6,2.6,2.6,2.6,200
3401,2024-06-27,2.3,2.3,2.3,2.3,0
3400,2024-06-26,2.3,2.3,2.3,2.3,0
3399,2024-06-25,2.3,2.3,2.3,2.3,0
3398,2024-06-24,2.3,2.3,2.3,2.3,0
3397,2024-06-21,2.3,2.3,2.3,2.3,3500
3396,2024-06-20,2.4,2.4,2.4,2.4,0
3395,2024-06-19,2.4,2.4,2.4,2.4,0
3394,2024-06-18,2.4,2.4,2.4,2.4,0
3393,2024-06-17,2.4,2.4,2.4,2.4,0
3392,2024-06-14,2.3,2.4,2.3,2.4,3100
3391,2024-06-13,2.3,2.3,2.3,2.3,0
3390,2024-06-12,2.3,2.3,2.3,2.3,0
3389,2024-06-11,2.3,2.3,2.3,2.3,0
3388,2024-06-10,2.3,2.3,2.3,2.3,0
3387,2024-06-07,2.3,2.3,2.3,2.3,5100
3386,2024-06-06,2.3,2.3,2.3,2.3,0
3385,2024-06-05,2.3,2.3,2.3,2.3,0
3384,2024-06-04,2.3,2.3,2.3,2.3,0
3383,2024-06-03,2.3,2.3,2.3,2.3,0
3382,2024-05-31,2.3,2.3,2.0,2.3,4200
3381,2024-05-30,2.3,2.3,2.3,2.3,0
3380,2024-05-29,2.3,2.3,2.3,2.3,0
3379,2024-05-28,2.3,2.3,2.3,2.3,0
3378,2024-05-27,2.3,2.3,2.3,2.3,0
3377,2024-05-24,2.3,2.3,2.3,2.3,1800
3376,2024-05-23,2.3,2.3,2.3,2.3,0
3375,2024-05-22,2.3,2.3,2.3,2.3,0
3374,2024-05-21,2.3,2.3,2.3,2.3,0
3373,2024-05-20,2.3,2.3,2.3,2.3,0
3372,2024-05-17,2.3,2.3,2.3,2.3,300
3371,2024-05-16,2.3,2.3,2.3,2.3,0
3370,2024-05-15,2.3,2.3,2.3,2.3,0
3369,2024-05-14,2.3,2.3,2.3,2.3,0
3368,2024-05-13,2.3,2.3,2.3,2.3,0
3367,2024-05-10,2.3,2.3,2.3,2.3,1000
3366,2024-05-09,2.2,2.2,2.2,2.2,0
3365,2024-05-08,2.2,2.2,2.2,2.2,0
3364,2024-05-07,2.2,2.2,2.2,2.2,0
3363,2024-05-06,2.2,2.2,2.2,2.2,0
3362,2024-05-03,2.1,2.2,2.1,2.2,300
3361,2024-05-02,2.4,2.4,2.4,2.4,0
3360,2024-04-26,2.4,2.4,2.4,2.4,100
3359,2024-04-25,2.2,2.2,2.2,2.2,0
3358,2024-04-24,2.2,2.2,2.2,2.2,0
3357,2024-04-23,2.2,2.2,2.2,2.2,0
3356,2024-04-22,2.2,2.2,2.2,2.2,0
